Date,Total_employed_persons,Labor_force_participation_rate,unemployement_rate,employment_rate,Employment_Population_ratio_rate,Total_Unemployed_persons,Unemployment_persons_age_15-30,Unemployment_rate_age_15-30,Outside_Labor_force,Underemployment_rate_by_age_15-24,Underemployment_rate_by_age_25-34,Underemployment_rate_by_age_35-44,Underemployment_rate_by_age_45+
2019-01-01,14992.80,68.6,3.3,96.3,66.3,515.6,409.3,6.7,7095.9,68.9,40,25.4,23.9
2019-02-01,15026.80,68.5,3.3,96.7,66.2,516.4,424.3,6.8,7145.9,0,0,0,0
2019-03-01,15035.20,68.4,3.4,96.6,66.2,521.3,403,6.6,7169.4,0,0,0,0
2019-04-01,15089.80,68.5,3.4,96.6,66.2,523.3,430,6.9,7184.4,69.2,37,27.2,27.3
2019-05-01,15122.5,68.5,3.3,96.7,66.2,519.8,414.4,6.7,7190,0,0,0,0
2019-06-01,15134.6,68.6,3.3,96.7,66.3,521.4,418.5,6.8,7156.7,0,0,0,0
2019-07-01,15179.8,68.5,3.3,96.7,66.2,524.8,434.4,7,7207.7,72.2,42.1,26.2,20.2
2019-08-01,15185.80,68.6,3.3,96.7,66.4,520.2,441.2,7.3,7172.4,0,0,0,0
2019-09-01,15229.9,68.7,3.3,96.7,66.5,521.4,443.4,7.2,7159.8,0,0,0,0
2019-10-01,15265.6,68.7,3.2,96.8,66.5,512.1,404.8,6.4,7175,68.8,41.3,30.3,23.1
2019-11-01,15315.00,68.8,3.2,96.8,66.6,513.9,411.8,6.5,7174.2,0,0,0,0
2019-12-01,15286.00,68.9,3.3,96.7,66.7,517,412.9,6.5,7129.8,0,0,0,0
2020-01-01,15317.60,68.9,3.2,96.8,66.7,511.7,396.9,6.4,7128.9,71.8,44.4,27.3,20.8
2020-02-01,15344.50,68.7,3.3,96.7,66.4,525.2,395,6.4,7224,0,0,0,0
2020-03-01,15232.40,68.6,3.8,96.2,66,610.5,470.5,7.8,7239.8,0,0,0,0
2020-04-01,14933.4,68.1,5,95,64.8,778.8,528,9,7345.1,69,39.6,30.3,29.6
2020-05-01,14887.9,68,5.3,94.7,64.4,826.1,573.7,10,7392.1,0,0,0,0
2020-06-01,14990.20,68.1,4.9,95.1,64.7,773.2,581.7,9.7,7398.5,0,0,0,0
2020-07-01,15073.4,68.1,4.7,95.3,64.9,745.1,544.5,9.7,7399.8,72.6,43.3,27.4,21.5
2020-08-01,15153.50,68.4,4.7,95.3,65.2,741.6,502.3,8.9,7351.5,0,0,0,0
2020-09-01,15193.10,68.4,4.6,95.4,65.2,737.5,502.6,8.5,7359.8,0,0,0,0
2020-10-01,15207.10,68.5,4.7,95.3,65.3,748.2,513.2,8.9,7347.7,68.9,44.8,29.2,24
2020-11-01,15196.10,68.4,4.8,95.2,65.1,764.4,528.4,8.8,7374.8,0,0,0,0
2020-12-01,15215.40,68.4,4.8,95.2,65.1,772.9,497.2,8.7,7372.2,0,0,0,0
2021-01-01,15237.30,68.5,4.9,95.1,65.2,782.5,509.2,9.2,7366.2,69.6,42.2,29.3,20.1
2021-02-01,15270.60,68.5,4.8,95.2,65.2,777.5,544.3,9.2,7371.4,0,0,0,0
2021-03-01,15329.30,68.6,4.7,95.3,65.4,753.2,537.3,9.3,7363.7,0,0,0,0
2021-04-01,15352.0,68.6,4.6,95.4,65.4,742.7,507.3,8.7,7376.8,58.1,41.2,30.4,22.9
2021-05-01,15370.80,68.5,4.5,95.5,65.4,728.1,545.7,9.2,7398,0,0,0,0
